0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	0
33	0
34	0
35	0
36	0
37	0
38	1
39	0
40	2
41	1
42	8
43	4
44	10
45	11
46	12
47	22
48	38
49	24
50	41
51	59
52	76
53	113
54	153
55	205
56	249
57	325
58	414
59	485
60	565
61	775
62	904
63	1066
64	1225
65	1396
66	1589
67	1860
68	2061
69	2346
70	2400
71	2797
72	3063
73	3246
74	3394
75	3553
76	3802
77	3803
78	3924
79	3912
80	4003
81	3964
82	3859
83	3714
84	3609
85	3394
86	3241
87	3030
88	2802
89	2459
90	2235
91	2154
92	1871
93	1613
94	1404
95	1219
96	1031
97	903
98	710
99	2851
